Order_ID,Customer_ID,Order_Date,Year,Month,Day,Day_Of_Week,Quarter,Customer_Age,Customer_Gender,Country,City,Customer_Segment,Product_ID,Product_Category,Product_Subcategory,Brand,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Coupon_Used,Shipping_Cost,Tax_Amount,Order_Amount,Payment_Method,Device_Type,Traffic_Source,Membership_Status,Shipping_Method,Warehouse_Region,Delivery_Days,Order_Status,Returned,Review_Rating,Customer_Lifetime_Value,Profit_Margin_Percent,Profit_Amount,Season,Holiday_Season,High_Value_Order
615717,CUST007322,2023-01-01,2023,1,1,Sunday,1,32,Male,Germany,Dubai,Loyal,PROD02374,Books,Comics,PrimePlus,18.44,3,10,5.53,Yes,15.5,2.91,68.2,Debit Card,Mobile,Social Media,Standard,Express,North,2,Delivered,No,4.4,2144.92,23.1,15.75,Winter,No,No
626919,CUST004717,2023-01-01,2023,1,1,Sunday,1,50,Male,France,London,Returning,PROD01378,Sports,Equipment,PrimePlus,46.58,1,40,18.63,Yes,5.87,4.91,38.73,Wallet,Mobile,Email,Standard,Standard,East,9,Delivered,No,4.1,817.17,8.57,3.32,Winter,No,No
615781,CUST004415,2023-01-01,2023,1,1,Sunday,1,61,Male,India,Berlin,Returning,PROD01850,Beauty,Skincare,Zenith,62.18,3,35,65.29,Yes,15.91,16.5,153.66,Cash on Delivery,Mobile,Paid Ads,Standard,Express,Central,2,Delivered,No,5.0,541.16,29.72,45.67,Winter,No,No
621747,CUST004114,2023-01-01,2023,1,1,Sunday,1,34,Male,United States,Riyadh,Returning,PROD00545,Fashion,Women Clothing,FreshMart,91.06,3,0,0.0,No,9.17,16.02,298.37,Wallet,Desktop,Organic Search,Standard,Standard,South,6,Returned,Yes,3.4,700.49,25.22,75.25,Winter,No,No
625881,CUST000145,2023-01-01,2023,1,1,Sunday,1,37,Male,India,Mumbai,Premium,PROD01398,Beauty,Makeup,Zenith,99.44,1,15,14.92,Yes,13.63,7.6,105.75,PayPal,Mobile,Referral,Standard,Express,Central,8,Delivered,No,3.6,2133.77,24.64,26.06,Winter,No,No
613497,CUST000940,2023-01-01,2023,1,1,Sunday,1,32,Female,Australia,Sydney,New,PROD01013,Home & Kitchen,Decor,Nova,125.84,3,5,18.88,No,18.83,36.46,413.93,PayPal,Mobile,Social Media,Standard,Express,North,5,Processing,No,4.1,5844.78,30.29,125.38,Winter,No,Yes
600746,CUST004139,2023-01-01,2023,1,1,Sunday,1,25,Female,United States,Karachi,Returning,PROD01390,Fashion,Women Clothing,UrbanCo,34.17,3,0,0.0,No,3.44,10.31,116.26,Credit Card,Desktop,Social Media,Gold,Standard,West,6,Delivered,No,5.0,1178.52,27.91,32.45,Winter,No,No
604774,CUST000543,2023-01-01,2023,1,1,Sunday,1,38,Female,Canada,Sydney,Premium,PROD00106,Fashion,Women Clothing,Trendify,149.41,1,30,44.82,Yes,6.35,5.94,116.88,Cash on Delivery,Tablet,Organic Search,Silver,Standard,East,6,Delivered,No,4.1,2535.68,10.14,11.85,Winter,No,No
600323,CUST003309,2023-01-01,2023,1,1,Sunday,1,48,Female,Germany,Karachi,Returning,PROD02359,Home & Kitchen,Cookware,Zenith,100.86,1,0,0.0,No,2.36,3.1,106.32,Debit Card,Mobile,Direct,Standard,Standard,North,5,Delivered,No,3.4,598.88,17.93,19.06,Winter,No,No
608449,CUST006419,2023-01-01,2023,1,1,Sunday,1,31,Other,Saudi Arabia,Karachi,Returning,PROD00312,Beauty,Makeup,Trendify,35.21,5,5,8.8,No,12.32,5.71,185.28,Cash on Delivery,Mobile,Social Media,Silver,Standard,North,6,Shipped,No,4.5,1050.17,31.95,59.2,Winter,No,No
